year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1951,6,20,"Sunny, Mild, Dry",0,0,1,0,0
1951,7,14,Warm and sunny,1,0,0,0,0
1951,8,67,"Hot, Dry",0,0,1,0,0
1950,1,9,"Sunny, mild, dry.",0,0,0,0,0
1950,2,6,not found,0,0,0,0,0
1950,3,19,Rainy,0,0,0,1,0
1950,4,66,"Warm, dry and sunny",1,0,1,0,0
1950,5,13,"Warm, dry and sunny",1,0,1,0,0
1950,6,55,Hot and sunny,1,0,0,0,0
1950,7,14,"Warm, hot and sunny",1,0,0,0,0
2011,1,1,"Sunny, 18°C",0,0,0,0,0
2011,2,2,"Cloudy, dry",0,0,1,0,0
2011,3,17,Fine and Dry[1] Air Temp 22 °C (72 °F)[1] Track Temp 32 °C (90 °F) dropping to 26 °C (79 °F)[1],1,0,0,0,0
2011,4,5,"Sunny, Fine and Dry[2] Air Temp 17 °C (63 °F)[2] Track Temp 35 °C (95 °F) dropping to 30 °C (86 °F)[2]",1,0,0,0,0
2011,5,4,"Mainly sunny, Fine and Dry[2][3] Air Temp 27 °C (81 °F)[3] Track Temp 33 °C (91 °F) to 44 °C (111 °F)[3]",1,0,0,0,0
2011,6,6,"Sunny, Fine and Dry[2]Air Temp 24 °C (75 °F)[2]Track Temp 44 °C (111 °F)[2]",1,0,0,0,0
2011,7,7,"Wet at start, very heavy rain later, after rain stops, track drying towards the end. Temperatures up to 27 °C (81 °F); wind speeds up to 12 kilometres per hour (7.5 mph)[1]",0,0,0,1,0
2011,8,12,"Clear, Fine and Dry[1][2] Air Temp 27 °C (81 °F)[2] Track Temp 47 °C (117 °F)[2]",1,0,0,0,0
2011,9,9,Wet track at start; subsequently drying[1]Air Temp 20 °C (68 °F)[1]Track Temp 22 °C (72 °F)[1],0,0,0,1,0
2011,10,20,"Cloudy, (light) rain at start",0,0,0,1,0
2011,11,11,"Cloudy, rain showers",0,0,0,1,0
2011,12,13,"Cloudy, dry",0,0,1,0,0
2011,13,14,Mainly sunny,1,0,0,0,0
2011,14,15,Hot and humid Air Temp 31 °C (88 °F)[1],1,0,0,0,0
2011,15,22,Sunny and dry Air Temp 24 °C (75 °F)[2],1,0,1,0,0
2011,16,35,"Dry, light rain at the start Air Temp 21 °C (70 °F)[2]",0,0,0,1,0
